payment_id,timestamp,settlement_time,payment_system,counterparty_type,direction,amount,cluster
PAY-001551,2024-01-15 07:13:02.751235570,2024-01-15 07:22:52.296984146,SWIFT,CCP,OUTFLOW,26818.14,3
PAY-000915,2024-01-15 07:13:55.899996193,2024-01-15 07:22:01.344370291,INTERNAL,CCP,INFLOW,331623.44,0
PAY-001969,2024-01-15 07:13:57.461446923,2024-01-15 07:23:55.855682208,INTERNAL,BANK,INFLOW,31894.42,0
PAY-000756,2024-01-15 07:14:15.838363261,2024-01-15 07:19:19.337726811,TARGET2,BANK,INFLOW,108076.67,2
PAY-000537,2024-01-15 07:14:59.398096100,2024-01-15 07:16:49.735930940,INTERNAL,CORPORATE,OUTFLOW,32808.65,1
PAY-000770,2024-01-15 07:15:03.033292776,2024-01-15 07:25:00.694985113,SWIFT,CORPORATE,OUTFLOW,89774.32,1
PAY-001792,2024-01-15 07:15:16.347745445,2024-01-15 07:24:11.739381731,INTERNAL,CORPORATE,OUTFLOW,20848.43,1
PAY-000558,2024-01-15 07:15:19.812260931,2024-01-15 07:19:10.202103718,TARGET2,BANK,INFLOW,71448.56,2
PAY-000975,2024-01-15 07:16:22.996019223,2024-01-15 07:19:08.426495659,SECURITIES,CENTRAL_BANK,INFLOW,131469.03,0
PAY-000735,2024-01-15 07:16:24.435858895,2024-01-15 07:25:06.660090989,TARGET2,BANK,OUTFLOW,13346.66,3
PAY-000862,2024-01-15 07:19:08.380326896,2024-01-15 07:26:18.748670283,SWIFT,CORPORATE,INFLOW,16251.17,2
PAY-001633,2024-01-15 07:19:32.448649493,2024-01-15 07:22:19.461113489,SWIFT,BANK,OUTFLOW,51182.47,3
PAY-000469,2024-01-15 07:19:41.456895948,2024-01-15 07:22:31.449144451,TARGET2,BANK,OUTFLOW,18366.23,3
PAY-000168,2024-01-15 07:19:50.161318942,2024-01-15 07:27:41.613335366,TARGET2,CORPORATE,INFLOW,338360.25,2
PAY-000892,2024-01-15 07:20:20.386248890,2024-01-15 07:28:37.559018146,TARGET2,CORPORATE,INFLOW,237497.95,2
PAY-000281,2024-01-15 07:20:38.827110905,2024-01-15 07:26:01.831677329,SWIFT,CCP,INFLOW,720830.64,2
PAY-001540,2024-01-15 07:20:46.299576037,2024-01-15 07:27:07.716047835,SWIFT,BANK,INFLOW,60665.35,2
PAY-000965,2024-01-15 07:22:59.598671084,2024-01-15 07:29:17.534893898,TARGET2,CENTRAL_BANK,INFLOW,21100.41,2
PAY-001398,2024-01-15 07:23:26.141157525,2024-01-15 07:28:22.041241595,SWIFT,BANK,INFLOW,94669.05,2
PAY-000134,2024-01-15 07:23:39.372956159,2024-01-15 07:26:42.653178725,TARGET2,CORPORATE,OUTFLOW,644873.27,1
PAY-001094,2024-01-15 07:23:47.969437383,2024-01-15 07:29:06.585377600,SWIFT,BANK,INFLOW,52032.98,2
PAY-001251,2024-01-15 07:23:52.043335589,2024-01-15 07:25:59.245713697,SWIFT,BANK,INFLOW,36192.83,2
PAY-001030,2024-01-15 07:24:24.040797166,2024-01-15 07:32:52.976345142,TARGET2,CCP,INFLOW,11368.29,2
PAY-000094,2024-01-15 07:24:41.537224576,2024-01-15 07:32:08.747986453,SECURITIES,BANK,INFLOW,538913.18,0
PAY-001449,2024-01-15 07:26:13.576059794,2024-01-15 07:33:48.516565645,SWIFT,BANK,INFLOW,65117.65,2
PAY-000142,2024-01-15 07:26:13.685054907,2024-01-15 07:30:11.898200261,SWIFT,CORPORATE,OUTFLOW,27658.03,1
PAY-001082,2024-01-15 07:26:29.991462063,2024-01-15 07:35:16.794668304,SECURITIES,CENTRAL_BANK,INFLOW,396400.19,0
PAY-001876,2024-01-15 07:26:34.048101620,2024-01-15 07:29:10.052599713,SWIFT,BANK,INFLOW,38179.07,2
PAY-001015,2024-01-15 07:27:01.499627314,2024-01-15 07:28:09.044895799,TARGET2,CCP,INFLOW,71849.94,2
PAY-000695,2024-01-15 07:27:06.732094871,2024-01-15 07:33:42.502039523,SWIFT,CORPORATE,OUTFLOW,12172.78,1
PAY-001827,2024-01-15 07:27:27.921284930,2024-01-15 07:30:35.303102188,SECURITIES,BANK,OUTFLOW,1104108.03,3
PAY-001376,2024-01-15 07:27:57.081842574,2024-01-15 07:31:25.941176819,SWIFT,CCP,OUTFLOW,199701.58,3
PAY-000729,2024-01-15 07:28:41.612455706,2024-01-15 07:35:20.093223216,SWIFT,CCP,INFLOW,179923.16,2
PAY-000634,2024-01-15 07:28:54.629125174,2024-01-15 07:32:43.824847165,SECURITIES,CORPORATE,OUTFLOW,233862.94,1
PAY-001320,2024-01-15 07:29:28.103923381,2024-01-15 07:32:52.463589188,SWIFT,CORPORATE,INFLOW,35278.77,2
PAY-001408,2024-01-15 07:29:35.004582389,2024-01-15 07:35:14.457414361,TARGET2,CENTRAL_BANK,INFLOW,47497.28,2
PAY-001079,2024-01-15 07:29:38.460527936,2024-01-15 07:36:21.856931138,SWIFT,BANK,INFLOW,110359.27,2
PAY-001844,2024-01-15 07:29:48.855432781,2024-01-15 07:35:23.925969933,SECURITIES,CORPORATE,INFLOW,181951.7,0
PAY-001637,2024-01-15 07:30:00.518932916,2024-01-15 07:37:52.533678355,SECURITIES,BANK,OUTFLOW,1434009.34,3
PAY-001137,2024-01-15 07:31:16.011192217,2024-01-15 07:35:33.708249813,INTERNAL,BANK,OUTFLOW,544733.78,0
PAY-000665,2024-01-15 07:31:25.950309496,2024-01-15 07:38:41.366313948,TARGET2,CORPORATE,OUTFLOW,129764.97,1
PAY-000645,2024-01-15 07:32:03.343877939,2024-01-15 07:35:26.485613769,TARGET2,CCP,INFLOW,10464.06,2
PAY-000080,2024-01-15 07:32:08.459503628,2024-01-15 07:40:41.154242927,SWIFT,CORPORATE,OUTFLOW,484820.47,1
PAY-000675,2024-01-15 07:32:18.962909001,2024-01-15 07:38:28.914381403,SWIFT,BANK,INFLOW,27364.49,2
PAY-000483,2024-01-15 07:32:30.463149132,2024-01-15 07:33:51.695615969,TARGET2,BANK,OUTFLOW,394890.45,3
PAY-001228,2024-01-15 07:33:04.224911998,2024-01-15 07:36:31.609124442,INTERNAL,CORPORATE,INFLOW,259881.7,0
PAY-001395,2024-01-15 07:33:10.523016491,2024-01-15 07:38:29.298179397,TARGET2,CORPORATE,INFLOW,48340.93,2
PAY-000529,2024-01-15 07:33:20.579976331,2024-01-15 07:39:37.079043644,TARGET2,CORPORATE,OUTFLOW,72772.7,1
PAY-000036,2024-01-15 07:33:38.035109965,2024-01-15 07:34:41.861201216,SECURITIES,BANK,INFLOW,1369770.03,0
PAY-001789,2024-01-15 07:33:56.198520454,2024-01-15 07:41:04.268378556,TARGET2,BANK,INFLOW,18275.73,2
PAY-000833,2024-01-15 07:34:05.653513770,2024-01-15 07:36:38.462970454,TARGET2,BANK,INFLOW,106227.61,2
PAY-001544,2024-01-15 07:34:17.689912018,2024-01-15 07:40:39.087637540,INTERNAL,BANK,OUTFLOW,12579.96,0
PAY-001029,2024-01-15 07:34:36.735198055,2024-01-15 07:43:43.790730753,SWIFT,BANK,OUTFLOW,313323.27,3
PAY-000023,2024-01-15 07:34:49.925065919,2024-01-15 07:40:35.402771943,SWIFT,BANK,OUTFLOW,13460.61,3
PAY-000352,2024-01-15 07:34:51.161215444,2024-01-15 07:40:02.046612528,TARGET2,CORPORATE,OUTFLOW,51287.32,1
PAY-000307,2024-01-15 07:35:13.924532036,2024-01-15 07:42:50.389868873,SWIFT,CORPORATE,OUTFLOW,7377.56,1
PAY-001623,2024-01-15 07:35:42.738366408,2024-01-15 07:42:11.705655614,SWIFT,CORPORATE,OUTFLOW,50168.01,1
PAY-001299,2024-01-15 07:35:58.212473655,2024-01-15 07:40:58.170201479,SWIFT,CORPORATE,INFLOW,15806.67,2
PAY-000918,2024-01-15 07:36:33.658202904,2024-01-15 07:44:58.747233798,TARGET2,BANK,OUTFLOW,69769.1,3
PAY-001849,2024-01-15 07:36:37.434828027,2024-01-15 07:38:10.989987459,SWIFT,BANK,OUTFLOW,150992.06,3
PAY-000494,2024-01-15 07:36:40.489509512,2024-01-15 07:40:28.463980468,TARGET2,CORPORATE,OUTFLOW,295006.0,1
PAY-001407,2024-01-15 07:37:46.384830069,2024-01-15 07:43:59.053529355,INTERNAL,CCP,OUTFLOW,63743.36,0
PAY-001397,2024-01-15 07:38:21.095876169,2024-01-15 07:46:10.416829341,TARGET2,CORPORATE,OUTFLOW,189875.42,1
PAY-001831,2024-01-15 07:38:28.788570887,2024-01-15 07:43:07.503003197,SWIFT,CCP,OUTFLOW,94096.57,3
PAY-000763,2024-01-15 07:39:26.153772323,2024-01-15 07:42:40.548825522,INTERNAL,CORPORATE,OUTFLOW,87029.8,1
PAY-000121,2024-01-15 07:39:56.926652730,2024-01-15 07:44:22.634440676,INTERNAL,BANK,INFLOW,132386.98,0
PAY-001675,2024-01-15 07:40:06.079937064,2024-01-15 07:42:26.816276388,SECURITIES,CORPORATE,OUTFLOW,940479.78,1
PAY-000348,2024-01-15 07:40:57.699018990,2024-01-15 07:42:43.522578509,TARGET2,CCP,OUTFLOW,189745.25,3
PAY-000117,2024-01-15 07:42:07.163341725,2024-01-15 07:50:00.466663817,SWIFT,BANK,INFLOW,73689.71,2
PAY-000563,2024-01-15 07:42:37.126234288,2024-01-15 07:44:25.920027706,TARGET2,CENTRAL_BANK,INFLOW,195144.73,2
PAY-000420,2024-01-15 07:43:15.005183167,2024-01-15 07:49:05.711374806,INTERNAL,BANK,OUTFLOW,299278.25,0
PAY-001006,2024-01-15 07:43:40.487008259,2024-01-15 07:52:32.999600396,SWIFT,CCP,OUTFLOW,5169.21,3
PAY-001191,2024-01-15 07:43:55.730735425,2024-01-15 07:46:45.200482888,INTERNAL,CORPORATE,INFLOW,125796.69,0
PAY-000149,2024-01-15 07:44:19.800086371,2024-01-15 07:50:18.527347401,TARGET2,CORPORATE,INFLOW,1169639.37,2
PAY-000354,2024-01-15 07:44:33.731815421,2024-01-15 07:47:55.025469862,TARGET2,BANK,OUTFLOW,374124.16,3
PAY-001336,2024-01-15 07:44:52.826961681,2024-01-15 07:47:03.677640467,INTERNAL,CENTRAL_BANK,OUTFLOW,81699.44,0
PAY-000819,2024-01-15 07:45:09.076521453,2024-01-15 07:46:16.687630002,TARGET2,CENTRAL_BANK,OUTFLOW,45464.65,1
PAY-000146,2024-01-15 07:45:57.769209019,2024-01-15 07:47:59.569681263,INTERNAL,BANK,OUTFLOW,200144.24,0
PAY-000594,2024-01-15 07:47:24.156763914,2024-01-15 07:49:15.582913469,SWIFT,BANK,INFLOW,2458152.34,2
PAY-001113,2024-01-15 07:47:33.542224088,2024-01-15 07:51:15.714845414,SWIFT,CORPORATE,INFLOW,31708.11,2
PAY-000325,2024-01-15 07:47:34.515168047,2024-01-15 07:50:48.932345646,TARGET2,BANK,INFLOW,19705.83,2
PAY-001648,2024-01-15 07:47:41.527536540,2024-01-15 07:50:43.310204012,SECURITIES,BANK,INFLOW,423994.65,0
PAY-000474,2024-01-15 07:48:46.228541847,2024-01-15 07:49:47.270584098,SWIFT,CORPORATE,OUTFLOW,113230.24,1
PAY-000214,2024-01-15 07:48:55.232065617,2024-01-15 07:53:12.603846656,SWIFT,BANK,INFLOW,231240.93,2
PAY-001337,2024-01-15 07:49:17.706928945,2024-01-15 07:56:02.410509402,TARGET2,CORPORATE,INFLOW,294980.89,2
PAY-000244,2024-01-15 07:49:23.471243273,2024-01-15 07:53:32.494583354,SWIFT,BANK,INFLOW,28992.45,2
PAY-000284,2024-01-15 07:49:36.442301530,2024-01-15 07:53:44.369329452,TARGET2,CORPORATE,OUTFLOW,186115.0,1
PAY-001590,2024-01-15 07:49:54.963425455,2024-01-15 07:57:14.999121648,SECURITIES,BANK,OUTFLOW,164995.75,3
PAY-000984,2024-01-15 07:50:40.298152298,2024-01-15 07:54:24.052406097,TARGET2,CCP,OUTFLOW,109947.44,3
PAY-000621,2024-01-15 07:51:33.092365982,2024-01-15 08:00:40.372122924,SECURITIES,CORPORATE,OUTFLOW,422710.07,1
PAY-001371,2024-01-15 07:52:30.365533407,2024-01-15 07:57:31.519354502,SECURITIES,CENTRAL_BANK,OUTFLOW,307166.74,1
PAY-001018,2024-01-15 07:52:42.416443701,2024-01-15 07:56:27.092421125,TARGET2,BANK,INFLOW,268861.51,2
PAY-001352,2024-01-15 07:52:49.951632388,2024-01-15 08:02:08.978942839,SWIFT,BANK,OUTFLOW,138437.75,3
PAY-001016,2024-01-15 07:54:34.888203701,2024-01-15 07:55:36.095214264,SECURITIES,BANK,INFLOW,350832.78,0
PAY-001349,2024-01-15 07:54:36.107996928,2024-01-15 08:00:22.200326818,TARGET2,CORPORATE,INFLOW,1580623.5,2
PAY-001183,2024-01-15 07:55:09.807556060,2024-01-15 08:03:05.100989533,TARGET2,BANK,OUTFLOW,203826.12,3
PAY-000041,2024-01-15 07:55:30.967248452,2024-01-15 07:59:47.722499748,INTERNAL,BANK,INFLOW,151596.75,0
PAY-000367,2024-01-15 07:55:43.995117139,2024-01-15 08:02:24.544241152,INTERNAL,CORPORATE,INFLOW,45518.45,0
PAY-001935,2024-01-15 07:55:45.931465411,2024-01-15 08:02:45.492466843,SWIFT,CORPORATE,INFLOW,25234.34,2
PAY-001818,2024-01-15 07:55:47.349006881,2024-01-15 07:57:42.628985089,TARGET2,CCP,INFLOW,242851.0,2
PAY-000066,2024-01-15 07:55:58.539012936,2024-01-15 07:59:46.134812231,SWIFT,CENTRAL_BANK,OUTFLOW,265116.29,1
PAY-000652,2024-01-15 07:55:58.843183548,2024-01-15 08:04:26.068195748,TARGET2,CCP,OUTFLOW,52704.09,3
PAY-001583,2024-01-15 07:55:59.505962295,2024-01-15 07:59:59.220863241,SWIFT,CORPORATE,INFLOW,107484.27,2
PAY-000598,2024-01-15 07:56:26.645845971,2024-01-15 08:03:53.339830126,SWIFT,CORPORATE,OUTFLOW,136425.29,1
PAY-001606,2024-01-15 07:56:30.964078084,2024-01-15 08:03:49.980207107,TARGET2,CORPORATE,INFLOW,113570.37,2
PAY-001436,2024-01-15 07:56:44.901064393,2024-01-15 07:58:51.305281614,SECURITIES,BANK,INFLOW,555750.23,0
PAY-001562,2024-01-15 07:56:58.513614790,2024-01-15 08:00:05.768910797,TARGET2,BANK,OUTFLOW,135502.93,3
PAY-000454,2024-01-15 07:57:16.967000566,2024-01-15 08:05:31.284608139,SWIFT,BANK,OUTFLOW,23586.52,3
PAY-001752,2024-01-15 07:57:18.774982594,2024-01-15 07:58:52.667152676,INTERNAL,CORPORATE,INFLOW,98940.13,0
PAY-000705,2024-01-15 07:57:19.060199434,2024-01-15 08:04:52.112004466,TARGET2,CENTRAL_BANK,OUTFLOW,23356.39,1
PAY-001662,2024-01-15 07:57:29.077571184,2024-01-15 08:06:46.915084402,SWIFT,BANK,INFLOW,99943.73,2
PAY-001327,2024-01-15 07:57:37.480235266,2024-01-15 08:02:18.896280669,SWIFT,BANK,OUTFLOW,256221.26,3
PAY-001140,2024-01-15 07:57:50.936804917,2024-01-15 08:07:45.352393119,SECURITIES,BANK,INFLOW,1020164.76,0
PAY-001521,2024-01-15 07:57:53.276871666,2024-01-15 08:06:48.356157938,SWIFT,BANK,INFLOW,69011.22,2
PAY-000816,2024-01-15 07:59:24.588538095,2024-01-15 08:09:11.571617926,TARGET2,CORPORATE,INFLOW,54090.02,2
PAY-000684,2024-01-15 07:59:25.895286715,2024-01-15 08:05:17.104317131,SWIFT,CCP,OUTFLOW,20340.79,3
PAY-001731,2024-01-15 07:59:41.452788571,2024-01-15 08:04:59.439006461,SWIFT,CORPORATE,OUTFLOW,747827.61,1
PAY-001920,2024-01-15 08:00:18.945994864,2024-01-15 08:09:05.411468006,SWIFT,BANK,INFLOW,239440.83,2
PAY-001197,2024-01-15 08:00:32.151830638,2024-01-15 08:05:06.734950701,SWIFT,CORPORATE,OUTFLOW,59338.59,1
PAY-001379,2024-01-15 08:00:32.257690736,2024-01-15 08:10:30.987931561,SWIFT,BANK,OUTFLOW,12376.62,3
PAY-001347,2024-01-15 08:00:35.866850094,2024-01-15 08:02:35.701223411,INTERNAL,CORPORATE,INFLOW,24532.76,0
PAY-001542,2024-01-15 08:01:09.323437476,2024-01-15 08:06:56.335992671,SWIFT,CENTRAL_BANK,OUTFLOW,102339.12,1
PAY-000210,2024-01-15 08:01:13.140666009,2024-01-15 08:07:45.253832236,TARGET2,CORPORATE,OUTFLOW,1172334.82,1
PAY-000535,2024-01-15 08:01:42.869008993,2024-01-15 08:08:33.383872554,SWIFT,BANK,INFLOW,104897.09,2
PAY-001056,2024-01-15 08:01:51.361728164,2024-01-15 08:03:15.630086058,SWIFT,CORPORATE,INFLOW,56309.69,2
PAY-001527,2024-01-15 08:02:05.249738340,2024-01-15 08:05:40.063432086,SECURITIES,BANK,INFLOW,617625.78,0
PAY-000882,2024-01-15 08:02:09.422976350,2024-01-15 08:11:13.590708909,INTERNAL,BANK,INFLOW,395090.37,0
PAY-001432,2024-01-15 08:02:20.880055236,2024-01-15 08:06:20.274955777,SWIFT,BANK,INFLOW,20702.52,2
PAY-000118,2024-01-15 08:02:43.948223550,2024-01-15 08:08:25.211089251,SWIFT,BANK,OUTFLOW,484447.46,3
PAY-000393,2024-01-15 08:02:45.791629905,2024-01-15 08:09:38.460265709,SWIFT,CORPORATE,OUTFLOW,30949.44,1
PAY-001098,2024-01-15 08:02:49.883843650,2024-01-15 08:04:00.063696330,SECURITIES,BANK,INFLOW,1247014.2,0
PAY-001840,2024-01-15 08:02:54.872634753,2024-01-15 08:06:40.081852825,INTERNAL,BANK,INFLOW,63150.62,0
PAY-000722,2024-01-15 08:03:07.767241573,2024-01-15 08:13:05.880081775,TARGET2,CCP,INFLOW,315138.19,2
PAY-000749,2024-01-15 08:03:25.371225686,2024-01-15 08:09:15.799641144,INTERNAL,CORPORATE,OUTFLOW,62468.36,1
PAY-001377,2024-01-15 08:03:36.072712598,2024-01-15 08:10:30.038051619,INTERNAL,BANK,INFLOW,78005.68,0
PAY-000901,2024-01-15 08:03:36.433370525,2024-01-15 08:07:45.594205339,TARGET2,CORPORATE,OUTFLOW,149073.03,1
PAY-000404,2024-01-15 08:03:37.082101278,2024-01-15 08:10:36.775860204,INTERNAL,CENTRAL_BANK,OUTFLOW,151411.16,0
PAY-000267,2024-01-15 08:04:00.324392736,2024-01-15 08:10:11.268059473,INTERNAL,CORPORATE,OUTFLOW,390436.77,1
PAY-001426,2024-01-15 08:04:22.354968059,2024-01-15 08:12:27.235765580,SWIFT,BANK,OUTFLOW,108854.03,3
PAY-001536,2024-01-15 08:04:32.538592151,2024-01-15 08:11:13.639520364,TARGET2,CORPORATE,INFLOW,11174.68,2
PAY-001599,2024-01-15 08:04:52.777735565,2024-01-15 08:11:50.758693867,SECURITIES,BANK,INFLOW,152331.33,0
PAY-000697,2024-01-15 08:04:56.670002212,2024-01-15 08:14:05.474090567,TARGET2,CCP,INFLOW,16752.31,2
PAY-001061,2024-01-15 08:04:57.807387356,2024-01-15 08:14:41.258487253,TARGET2,CENTRAL_BANK,OUTFLOW,1023457.45,1
PAY-000631,2024-01-15 08:05:04.792759474,2024-01-15 08:10:59.708085910,TARGET2,BANK,INFLOW,44575.1,2
PAY-001837,2024-01-15 08:05:17.410402150,2024-01-15 08:11:22.417718257,INTERNAL,CCP,INFLOW,30291.84,0
PAY-000293,2024-01-15 08:05:24.880406563,2024-01-15 08:10:13.616494642,TARGET2,CORPORATE,INFLOW,93230.02,2
PAY-001918,2024-01-15 08:05:35.379920905,2024-01-15 08:07:22.081386877,TARGET2,CORPORATE,INFLOW,159833.77,2
PAY-001243,2024-01-15 08:05:54.554095564,2024-01-15 08:15:51.747944843,TARGET2,BANK,INFLOW,56219.22,2
PAY-001110,2024-01-15 08:06:15.667567732,2024-01-15 08:15:09.478190508,TARGET2,CORPORATE,INFLOW,31692.51,2
PAY-001801,2024-01-15 08:06:56.649352035,2024-01-15 08:12:04.604951802,SECURITIES,BANK,INFLOW,668491.74,0
PAY-000658,2024-01-15 08:07:05.901280099,2024-01-15 08:16:47.984014263,SWIFT,CORPORATE,OUTFLOW,173768.63,1
PAY-001032,2024-01-15 08:07:06.207354987,2024-01-15 08:13:17.157509021,SWIFT,CENTRAL_BANK,INFLOW,28680.73,2
PAY-000952,2024-01-15 08:07:10.826438023,2024-01-15 08:16:12.766404358,TARGET2,CORPORATE,INFLOW,53761.16,2
PAY-000017,2024-01-15 08:07:15.008629655,2024-01-15 08:15:54.161819638,SWIFT,BANK,OUTFLOW,1749015.03,3
PAY-000969,2024-01-15 08:07:58.906291554,2024-01-15 08:10:03.073164375,TARGET2,CORPORATE,INFLOW,521345.4,2
PAY-001474,2024-01-15 08:08:14.757521813,2024-01-15 08:11:14.583870811,TARGET2,CCP,INFLOW,89372.52,2
PAY-001438,2024-01-15 08:08:19.482556243,2024-01-15 08:17:14.104234034,INTERNAL,BANK,OUTFLOW,309154.83,0
PAY-000489,2024-01-15 08:08:32.655995799,2024-01-15 08:15:30.846246660,SWIFT,CCP,INFLOW,41283.97,2
PAY-000068,2024-01-15 08:09:02.757833469,2024-01-15 08:13:59.932410255,SWIFT,BANK,OUTFLOW,350492.95,3
PAY-000020,2024-01-15 08:09:16.766599574,2024-01-15 08:16:12.628795197,INTERNAL,BANK,OUTFLOW,6316175.77,0
PAY-001175,2024-01-15 08:09:17.196749484,2024-01-15 08:10:59.894105262,INTERNAL,BANK,INFLOW,93878.08,0
PAY-000877,2024-01-15 08:09:29.011962223,2024-01-15 08:16:47.017445419,TARGET2,BANK,OUTFLOW,92071.23,3
PAY-001064,2024-01-15 08:09:30.265682742,2024-01-15 08:11:59.652693576,TARGET2,BANK,INFLOW,526787.43,2
PAY-001250,2024-01-15 08:09:53.537188529,2024-01-15 08:12:01.707564274,INTERNAL,CCP,OUTFLOW,249950.02,0
PAY-001223,2024-01-15 08:10:06.438072733,2024-01-15 08:16:42.777594295,SECURITIES,BANK,OUTFLOW,847411.93,3
PAY-000442,2024-01-15 08:10:14.213462106,2024-01-15 08:19:52.128454663,SWIFT,BANK,INFLOW,963686.17,2
PAY-001091,2024-01-15 08:10:52.800286026,2024-01-15 08:12:50.694142790,TARGET2,CCP,INFLOW,408267.77,2
PAY-000681,2024-01-15 08:11:06.541459853,2024-01-15 08:14:53.753556067,TARGET2,CORPORATE,OUTFLOW,15504.54,1
PAY-000304,2024-01-15 08:11:12.298212380,2024-01-15 08:15:11.187680826,SECURITIES,BANK,OUTFLOW,1762883.1,3
PAY-001038,2024-01-15 08:11:39.599348963,2024-01-15 08:13:01.669143439,SWIFT,CENTRAL_BANK,INFLOW,326477.52,2
PAY-001726,2024-01-15 08:12:02.102271923,2024-01-15 08:21:17.117614089,SECURITIES,BANK,INFLOW,1091599.49,0
PAY-000801,2024-01-15 08:12:07.578728136,2024-01-15 08:18:39.369575348,TARGET2,CORPORATE,INFLOW,1141032.06,2
PAY-000568,2024-01-15 08:12:11.138461684,2024-01-15 08:21:46.217402257,SWIFT,CORPORATE,OUTFLOW,61258.28,1
PAY-000736,2024-01-15 08:12:38.092003444,2024-01-15 08:20:01.099969460,TARGET2,CENTRAL_BANK,INFLOW,15556.11,2
PAY-001354,2024-01-15 08:12:44.450236970,2024-01-15 08:17:28.615366700,INTERNAL,BANK,OUTFLOW,121719.36,0
PAY-000072,2024-01-15 08:12:47.998131678,2024-01-15 08:18:46.440776560,INTERNAL,BANK,INFLOW,66704.11,0
PAY-001216,2024-01-15 08:12:59.301075445,2024-01-15 08:18:00.463288108,TARGET2,BANK,OUTFLOW,163217.58,3
PAY-001628,2024-01-15 08:13:00.926915463,2024-01-15 08:14:04.953388431,TARGET2,BANK,INFLOW,8218.02,2
PAY-000379,2024-01-15 08:13:03.406131572,2024-01-15 08:21:34.908655251,SECURITIES,BANK,INFLOW,722139.89,0
PAY-000916,2024-01-15 08:13:24.412568493,2024-01-15 08:22:05.375032252,SWIFT,BANK,OUTFLOW,77883.93,3
PAY-000412,2024-01-15 08:13:27.662880498,2024-01-15 08:18:20.340725099,SWIFT,CORPORATE,OUTFLOW,183415.66,1
